,title,score
234,The Croods,6.736849019160544
235,Asterix at the Olympic Games,5.363541524743445
236,Windtalkers,5.919201938314014
237,The Huntsman: Winter's War,6.012320999129051
238,Teenage Mutant Ninja Turtles,5.823915122420367
239,Gravity,7.252582745818388
240,Dante's Peak,5.839005002215495
241,Teenage Mutant Ninja Turtles: Out of the Shadows,5.857312451142631
242,Fantastic Four,4.558241271973288
243,Night at the Museum,6.284230002088754
244,San Andreas,6.006762509044294
245,Tomorrow Never Dies,6.018672686611097
246,The Patriot,6.675307583559874
247,Ocean's Twelve,6.3693345979096545
248,Mr. & Mrs. Smith,6.470050098896523
249,Insurgent,6.193764841650806
250,The Aviator,6.87625308379865
251,Gulliver's Travels,5.227290089332795
252,The Green Hornet,5.593647588471651
253,300: Rise of an Empire,6.099301032093036
254,The Smurfs,5.598416065395242
255,Home on the Range,5.847692814853962
256,Allegiant,5.9202240557406505
257,Real Steel,6.559227986494319
258,The Smurfs 2,5.649634748891261
259,Speed 2: Cruise Control,4.799791205484114
260,Ender's Game,6.552978848096482
261,Live Free or Die Hard,6.36887276956492
262,The Lord of the Rings: The Fellowship of the Ring,7.949850147256027
263,Around the World in 80 Days,5.801610051233597
264,Ali,6.490557648781339
265,The Cat in the Hat,5.3661569325605205
266,"I, Robot",6.6645383109406335
267,Kingdom of Heaven,6.514267468727638
268,Stuart Little,5.857504452653997
269,The Princess and the Frog,6.603616947684799
270,The Martian,7.552773599422746
271,The Island,6.45219965908672
273,Gone in Sixty Seconds,6.09893041655167
274,Gladiator,7.825125187957151
275,Minority Report,7.016693744800869
276,Harry Potter and the Chamber of Secrets,7.3492000523089045
277,Casino Royale,7.230601544368918
278,Planet of the Apes,5.678254611954582
279,Terminator 2: Judgment Day,7.614515908703365
280,Public Enemies,6.439303556978387
281,American Gangster,7.22306293406383
282,True Lies,6.676876622108714
283,The Taking of Pelham 1 2 3,6.178688239250524
284,Little Fockers,5.525606421983686
285,The Other Guys,6.09886298916494
286,Eraser,5.74866364584688
287,Django Unchained,7.761163181388511
288,The Hunchback of Notre Dame,6.678050085387737
289,The Emperor's New Groove,7.049078444329782
290,The Expendables 2,6.0994124294055805
291,National Treasure,6.366524903502486
292,Eragon,5.13307846628026
293,Where the Wild Things Are,6.310359747792903
294,Epic,6.346652150788254
295,The Tourist,6.011199749983905
296,End of Days,5.694086912787828
297,Blood Diamond,7.187186135321491
298,The Wolf of Wall Street,7.837578653609884
299,Batman Forever,5.320981140489828
300,Starship Troopers,6.6204235746344695
301,Cloud Atlas,6.562845677605502
302,Legend of the Guardians: The Owls of Ga'Hoole,6.39782549730157
303,Catwoman,4.62632820370937
304,Hercules,5.660397032098627
305,Treasure Planet,6.979932642830831
306,Land of the Lost,5.602208305955962
307,The Expendables 3,6.099093751955109
308,Point Break,5.636699721482194
309,Son of the Mask,4.622094793139394
310,In the Heart of the Sea,6.436572016193828
312,Green Zone,6.3240129374673035
313,The Peanuts Movie,6.385769149545736
315,The Mummy Returns,6.0088735421830695
316,Gangs of New York,6.989585229123017
318,Surf's Up,5.954019517307264
319,The Stepford Wives,5.685870503460233
320,Black Hawk Down,7.072756752917337
321,The Campaign,5.742263611892833
322,The Fifth Element,7.231106872929338
323,Sex and the City 2,5.6460821731753
324,The Road to El Dorado,6.804812732359444
325,Ice Age: Continental Drift,6.191283218599544
326,Cinderella,6.645251175342612
327,The Lovely Bones,6.508200243437594
328,Finding Nemo,7.544259920791076
329,The Lord of the Rings: The Return of the King,8.043144995357135
330,The Lord of the Rings: The Two Towers,7.941939952922672
331,Seventh Son,5.3758895272389875
332,Lara Croft: Tomb Raider,5.737972936328337
333,Transcendence,5.917849927458052
334,Jurassic Park III,5.739861728576502
335,Rise of the Planet of the Apes,6.953439615117607
336,The Spiderwick Chronicles,6.239479946058083
337,A Good Day to Die Hard,5.256239355275985
339,The Incredibles,7.342947896133075
341,Percy Jackson & the Olympians: The Lightning Thief,6.009648247870322
342,Men in Black,6.859147905416156
343,Toy Story 2,7.229760038720334
344,Unstoppable,6.26511451176348
345,Rush Hour 2,6.343879221465379
346,What Lies Beneath,6.232448570496366
347,Cloudy with a Chance of Meatballs,6.4516449629005415
348,Ice Age: Dawn of the Dinosaurs,6.461755912397795
349,The Secret Life of Walter Mitty,6.936863070869746
350,Charlie's Angels,5.678841388186007
351,The Departed,7.807118565034735
352,Mulan,7.442024215991472
353,Tropic Thunder,6.449611102244412
354,The Girl with the Dragon Tattoo,7.1024579679538675
355,Die Hard: With a Vengeance,6.817496878082952
356,Sherlock Holmes,6.964449311192947
357,Ben-Hur,5.517477005220646
358,Atlantis: The Lost Empire,6.602097543844327
359,Alvin and the Chipmunks: The Road Chip,5.903560055005841
360,Valkyrie,6.598551361128461
361,You Don't Mess with the Zohan,5.6084647829063705
362,Pixels,5.642088907011962
363,A.I. Artificial Intelligence,6.724699102068299
364,The Haunted Mansion,5.4990874699983925
365,Contact,7.031276938735498
366,Hollow Man,5.733095876258772
367,The Interpreter,6.159585831688792
368,Percy Jackson: Sea of Monsters,5.9239831739080575
369,Lara Croft Tomb Raider: The Cradle of Life,5.584186519339911
370,Now You See Me 2,6.658835826071722
371,The Saint,5.984097423591941
372,Spy Game,6.595651494433504
373,Mission to Mars,5.852583305412041
374,Rio,6.460083430432683
375,Bicentennial Man,6.741536157319594
376,Volcano,5.543142907477697
377,The Devil's Own,5.986019650416901
378,K-19: The Widowmaker,6.096313259456658
379,Conan the Barbarian,6.465152899964828
380,Cinderella Man,6.966463356602671
383,Twister,6.098447524446306
384,Cast Away,7.404187754552236
385,Happy Feet,5.927453079920287
386,The Bourne Supremacy,7.114921672048651
387,Air Force One,6.176428201366393
388,Ocean's Eleven,7.135206649195837
389,The Three Musketeers,5.699793197988674
390,Hotel Transylvania,6.740614179389101
391,Enchanted,6.529133204553962
392,Safe House,6.269088807891691
393,102 Dalmatians,5.525475030052688
394,Tower Heist,5.85883488986193
395,The Holiday,6.602164600321146
396,Enemy of the State,6.603159536589066
397,It's Complicated,6.15741229658634
398,Ocean's Thirteen,6.457099514981591
399,Open Season,6.0979352597854914
400,Divergent,6.861241387600832
401,Enemy at the Gates,6.989027809131988
402,The Rundown,6.303418313042554
403,Last Action Hero,6.098057356355726
404,Memoirs of a Geisha,6.980000356785651
405,The Fast and the Furious: Tokyo Drift,6.099051709520037
406,Arthur Christmas,6.448521683924072
407,Meet Joe Black,6.762634092958663
408,Collateral Damage,5.710211958412194
410,Mirror Mirror,5.603158129332003
411,Scott Pilgrim vs. the World,7.089733297953779
412,The Core,5.616591633114345
413,Nutty Professor II: The Klumps,5.2770023218145905
414,Scooby-Doo,5.554180394757226
415,Dredd,6.545131179985688
416,Click,6.009260502979424
419,Jumper,5.922202712128256
420,Hellboy II: The Golden Army,6.44560744407995
421,Zodiac,7.17429597717842
422,The 6th Day,5.811036525866112
423,Bruce Almighty,6.377721070671042
424,The Expendables,6.006852362059118
425,Mission: Impossible,6.6501606128642266
426,The Hunger Games,6.880408701389976
427,The Hangover Part II,6.193623632729962
428,Batman Returns,6.537452996052869
429,Over the Hedge,6.262689317394097
430,Lilo & Stitch,6.947101560018639
431,Charlotte's Web,5.931281675848705
432,Deep Impact,5.941431482998966
433,RED 2,6.358921247284994
434,The Longest Yard,6.175157173008699
435,Alvin and the Chipmunks: Chipwrecked,5.626231316368391
436,Grown Ups 2,5.849395911128686
437,Get Smart,6.016843169882483
438,Something's Gotta Give,6.224279560416857
439,Shutter Island,7.738922586587867
440,Four Christmases,5.6289051527718605
441,Robots,6.013813977339843
442,Face/Off,6.708504024460327
443,Bedtime Stories,5.939753799708515
444,Road to Perdition,7.083658777796397
445,Just Go with It,6.2725311116247875
446,Con Air,6.436319147155397
447,Eagle Eye,6.261021800853051
448,Cold Mountain,6.514010828735511
449,The Book of Eli,6.550254404530585
450,Flubber,5.500172383299863
451,The Haunting,5.547119729253101
452,Space Jam,6.437071777064263
453,The Pink Panther,5.747337982762895
454,The Day the Earth Stood Still,5.364053455765941
455,Conspiracy Theory,6.356096571274584
456,Fury,7.326491345723241
457,Six Days Seven Nights,5.8039864487987165
459,Spirit: Stallion of the Cimarron,7.1116888522222075
460,Zookeeper,5.553970418102146
461,Lost in Space,5.411974825792734
462,The Manchurian Candidate,6.159650185459989
464,Hotel Transylvania 2,6.617529051079026
465,Fantasia 2000,6.595180866164844
466,The Time Machine,5.879284430102624
468,Swordfish,6.098423578807945
469,The Legend of Zorro,5.940035741550419
470,What Dreams May Come,6.595148172991223
471,Little Nicky,5.511530930860138
472,The Brothers Grimm,5.7098388570454635
473,Mars Attacks!,6.0989451355899496
475,The Edge,6.455411500802865
476,Surrogates,5.931580640887324
478,Daylight,5.912007041547916
480,Battlefield Earth,4.482980237691577
481,Looney Tunes: Back in Action,5.817406609903896
483,Timeline,5.694141621101036
484,The Postman,6.096554899754443
485,Babe: Pig in the City,5.588259845312727
486,The Last Witch Hunter,5.75941993324879
487,Red Planet,5.72402453479855
488,Arthur and the Invisibles,6.024782970788184
491,Pompeii,5.339587427742259
493,A Beautiful Mind,7.583526608036028
494,The Lion King,7.920096295931005
495,Journey 2: The Mysterious Island,5.854276930014919
496,Cloudy with a Chance of Meatballs 2,6.337095927364237
497,Red Dragon,6.5941928270139805
498,Hidalgo,6.326691349853297
499,Jack and Jill,4.657997993407476
500,2 Fast 2 Furious,6.18880261443609
501,The Little Prince,7.24244229714316
502,The Invasion,5.855152047927395
504,The Secret Life of Pets,5.912215395312111
505,The League of Extraordinary Gentlemen,5.76630238594883
506,Despicable Me 2,6.956211066598701
507,Independence Day,6.659130276529005
508,The Lost World: Jurassic Park,6.190690784889373
509,Madagascar,6.565627971333201
510,Children of Men,7.2667217330741
511,X-Men,6.7616021044480314
512,Wanted,6.373818427965571
513,The Rock,6.787735255156045
514,Ice Age: The Meltdown,6.469918492300336
515,50 First Dates,6.549000135243109
516,Hairspray,6.398474911513636
518,Inspector Gadget,5.061591892348775
519,Now You See Me,7.250395022102214
520,Grown Ups,6.011165111581893
521,The Terminal,6.900540940078729
523,Vertical Limit,5.987182078125237
524,Charlie Wilson's War,6.332740517397683
525,Shark Tale,5.83831490874379
526,Dreamgirls,6.370058413234823
527,Be Cool,5.708653351933345
528,Munich,6.696090565487511
529,Tears of the Sun,6.310470688699099
530,Killers,5.791519678717848
531,The Man from U.N.C.L.E.,7.005264126587549
532,Spanglish,5.913676020643829
533,Monster House,6.25596060998095
534,Bandits,6.1528125073908235
535,First Knight,5.982711202323943
537,Immortals,5.782654992348765
538,Hostage,6.166078067562078
539,Titan A.E.,6.210876489906703
542,Carriers,5.932805254291823
544,Flight of the Phoenix,5.880352869802099
545,Unbreakable,6.812957504112276
546,Minions,6.384948047538259
547,Sucker Punch,5.924305875386907
548,Snake Eyes,5.922171381617211
549,Sphere,5.896568658887302
550,The Angry Birds Movie,5.935927061629971
551,Fool's Gold,5.6395586398657915
552,Funny People,5.847456506350197
553,The Kingdom,6.371872080840738
554,Talladega Nights: The Ballad of Ricky Bobby,6.165096854640321
555,Dr. Dolittle 2,5.334357079796702
556,Braveheart,7.594192191674286
557,Jarhead,6.480660316468872
558,The Simpsons Movie,6.824033740083583
562,The Village,6.180597485810775
563,Doctor Dolittle,5.576612721464574
564,Signs,6.360556333952493
565,Shrek 2,6.655681140697758
566,Cars,6.570977703421418
567,Runaway Bride,5.833565676041845
568,xXx,5.841386568094559
569,The SpongeBob Movie: Sponge Out of Water,5.871970981623556
570,Ransom,6.297390519814003
571,Inglourious Basterds,7.836258111998331
572,Hook,6.532461978759973
573,Die Hard 2,6.543998271454187
574,S.W.A.T.,5.868318722854599
575,Vanilla Sky,6.4270070955589285
576,Lady in the Water,5.589068814392659
577,AVP: Alien vs. Predator,5.595840438339444
578,Alvin and the Chipmunks: The Squeakquel,5.580533092640258
579,We Were Soldiers,6.511058619667821
580,Olympus Has Fallen,6.192120745170669
581,Star Trek: Insurrection,6.221981336212256
582,Battle: Los Angeles,5.582685868371285
583,Big Fish,7.44103199482677
585,War Horse,6.826129027276995
586,The Monuments Men,5.839055925181384
587,The Abyss,6.872924560372841
588,Wall Street: Money Never Sleeps,5.894313621523177
589,Dracula Untold,6.190343108410393
590,The Siege,6.036900028056001
591,Stardust,6.93309395099991
592,Seven Years in Tibet,6.753364527709679
593,The Dilemma,5.588980178977501
595,Doom,5.3040999010294705
596,I Spy,5.615992691406493
597,Underworld: Awakening,6.099122706947483
598,Rock of Ages,6.034935994304633
599,Hart's War,5.994874614430405
600,Killer Elite,6.098021845665454
606,Blackhat,5.3197552464362605
607,Sky Captain and the World of Tomorrow,5.836736374582897
609,Escape Plan,6.62458306043763
610,The Legend of Hercules,4.917786870402178
611,The Sum of All Fears,5.967202851888204
612,The Twilight Saga: Eclipse,5.827074257282679
613,The Score,6.482918414086433
614,Despicable Me,7.0647192486919215
616,Ted 2,6.1906079749699305
617,Agora,6.598667168998212
618,Mystery Men,5.89002127106984
619,Hall Pass,5.5922698776227815
620,The Insider,6.9035758609900455
621,The Finest Hours,6.240656520618314
622,Body of Lies,6.415186120768913
623,Dinner for Schmucks,5.681671431421504
624,Abraham Lincoln: Vampire Hunter,5.592526806162814
625,Entrapment,6.025878514299729
626,The X Files,6.434938197052383
628,Saving Private Ryan,7.819583629844572
629,Need for Speed,6.09895174727571
630,What Women Want,6.098500665418804
631,Ice Age,7.042121289459646
632,Dreamcatcher,5.532120095347722
633,Lincoln,6.614158844031774
634,The Matrix,7.853528802939059
635,Apollo 13,7.145234632752929
636,The Santa Clause 2,5.761579542234723
637,Les Misérables,6.988230446658269
638,You've Got Mail,6.254483053559061
639,Step Brothers,6.426106643383864
640,The Mask of Zorro,6.26555734588778
641,Due Date,6.1868022481608715
642,Unbroken,7.126397747075763
643,Space Cowboys,6.223448771894785
644,Cliffhanger,6.097764661566067
645,Broken Arrow,5.833953948355919
646,The Kid,6.045793480906708
647,World Trade Center,5.9662174728282595
648,Mona Lisa Smile,6.347389038963173
649,The Dictator,5.922831302562625
650,Eyes Wide Shut,6.938774892082282
651,Annie,6.030899167573285
652,Focus,6.648563311656058
653,This Means War,5.9278080766433945
654,Blade: Trinity,5.761977347995207
657,Resident Evil: Retribution,5.663030145214644
658,Death Race,6.015361926573668
659,The Long Kiss Goodnight,6.325428627447856
661,Zathura: A Space Adventure,6.0981857164387305
662,Fight Club,8.246223084211119
664,Hudson Hawk,5.722738723152525
666,"I, Frankenstein",5.278373445194005
667,Oliver Twist,6.4193719380527945
668,Elektra,5.174889279591201
669,Sin City: A Dame to Kill For,6.2678897544174035
671,Everest,6.628829255839
672,Perfume: The Story of a Murderer,6.9308287974777665
673,Austin Powers in Goldmember,5.937199601704179
674,Astro Boy,6.09714334855415
675,Jurassic Park,7.530398805042009
677,Clear and Present Danger,6.283510976600439
679,Little Man,5.675323218687243
680,U-571,6.096800550380648
682,The Love Guru,5.182935673938935
684,The Hateful Eight,7.5214150180680575
685,Blades of Glory,5.956169547846857
686,Hop,5.74586628351391
687,300,6.959224066603378
688,Meet the Fockers,6.098855918202035
689,Marley & Me,6.779696018041111
690,The Green Mile,8.08434749392222
691,Wild Hogs,5.730985635865088
692,Chicken Little,5.698100353239078
693,Gone Girl,7.830319881329978
694,The Bourne Identity,7.225657495146378
695,GoldenEye,6.515301856968681
697,The Truman Show,7.71589696489289
698,The Prince of Egypt,6.64188243010349
699,Daddy Day Care,5.756086796854079
700,2 Guns,6.5345725419237235
701,Cats & Dogs,5.437240743558556
702,The Italian Job,6.544596247200033
703,Two Weeks Notice,5.962548914776832
704,Antz,6.014373136342981
705,Couples Retreat,5.526197225357075
706,Days of Thunder,5.976803259300803
707,Cheaper by the Dozen 2,5.8211042266345245
708,Maze Runner: The Scorch Trials,6.3779115470133965
709,Eat Pray Love,5.878829295601461
710,The Family Man,6.373227931837134
711,RED,6.560782226904
712,Any Given Sunday,6.546819355355971
713,The Horse Whisperer,6.428956957246438
714,Collateral,6.873464007395535
715,The Scorpion King,5.483590055689223
717,Jack Reacher,6.284893385854894
718,Deep Blue Sea,5.737854965993888
719,This Is It,6.403652108856582
720,Contagion,6.183756613121073
722,Coraline,7.1248984062115195
723,The Happening,5.13642220799061
724,Man on Fire,7.141252973416595
726,Starsky & Hutch,5.731581702467431
727,Jingle All the Way,5.671802859838115
728,Hellboy,6.461040779052388
730,ParaNorman,6.560508121551633
731,The Jackal,6.097585717150751
732,Paycheck,5.955343525084403
734,The Tale of Despereaux,5.939270418800959
735,The Tuxedo,5.559276206781159
737,Jack Ryan: Shadow Recruit,5.932074088401189
738,Joy,6.360165372504886
739,London Has Fallen,5.836993704994004
740,Alien: Resurrection,5.928225197793046
741,Shooter,6.788132184130155
742,The Boxtrolls,6.467840882025329
743,Practical Magic,6.2147649502074565
744,The Lego Movie,7.399897221321898
745,Miss Congeniality 2: Armed and Fabulous,5.582061085558898
746,Reign of Fire,6.023960527067336
747,Gangster Squad,6.187411980362084
748,Year One,5.06200305200115
749,Invictus,6.843132585638877
750,State of Play,6.501335627912201
754,Planet 51,5.74622037480262
755,Star Trek: Nemesis,6.09742341242139
756,Intolerable Cruelty,5.909681016723438
757,Trouble with the Curve,6.4014314749898045
758,Edge of Darkness,6.1649034854139515
760,Analyze That,5.849854173120119
761,Righteous Kill,5.974033305686676
762,Mercury Rising,6.035920922833951
764,The Legend of Bagger Vance,6.199506824010026
765,Almost Famous,7.1021902291365056
766,Garfield: A Tail of Two Kitties,5.433562684504825
767,xXx: State of the Union,5.117296322026624
768,Priest,5.575469597053801
769,Sinbad: Legend of the Seven Seas,6.403394261068982
770,Event Horizon,6.401904111022387
772,The Black Dahlia,5.8765523304001395
773,Flyboys,6.20347888630212
774,The Last Castle,6.589731377824755
776,Winter's Tale,6.0300004383225385
777,The Mortal Instruments: City of Bones,6.186205942552463
778,Meet Dave,5.423531875361176
779,Dark Water,5.6657373604496515
781,Inkheart,6.02619143466611
782,The Spirit,5.289478047691663
783,Mortdecai,5.526093268580522
788,Deadpool,7.3726322632652606
790,American Sniper,7.334664182922806
791,Goosebumps,6.1793986312755065
792,Just Like Heaven,6.382260831042841
794,Rambo III,5.799632774560944
796,The Ridiculous 6,5.349695532052765
797,Did You Hear About the Morgans?,5.556282419704251
798,The Internship,6.0990281650654365
799,Resident Evil: Afterlife,5.842966405800295
801,The Devil's Advocate,7.038197834971332
802,That's My Boy,5.702267901844292
803,DragonHeart,6.306052359050484
805,Ghost Rider: Spirit of Vengeance,4.938803150707207
807,The Pacifier,5.863751454474348
