,popularity,vote_average,title
91,48.775723,4.9,Independence Day: Resurgence
92,67.263269,7.5,How to Train Your Dragon
93,69.405188,5.9,Terminator 3: Rise of the Machines
94,481.098624,7.9,Guardians of the Galaxy
95,724.247784,8.1,Interstellar
96,167.58371,8.1,Inception
97,9.476999,6.5,Shin Godzilla
98,108.849621,7.0,The Hobbit: An Unexpected Journey
99,6.909942,6.6,The Fast and the Furious
100,60.269279,7.3,The Curious Case of Benjamin Button
101,3.195174,7.1,X-Men: First Class
102,127.284427,6.6,The Hunger Games: Mockingjay - Part 2
103,35.580815,5.8,The Sorcerer's Apprentice
104,21.133748,5.5,Poseidon
105,56.268916,6.5,Alice Through the Looking Glass
106,42.986467,6.0,Shrek the Third
107,63.148529,6.3,Warcraft
108,202.042635,5.8,Terminator Genisys
109,49.661984,6.2,The Chronicles of Narnia: The Voyage of the Dawn Treader
110,34.20669,6.6,Pearl Harbor
111,25.468493,6.6,Transformers
112,39.019229,5.6,Alexander
113,78.144395,7.4,Harry Potter and the Order of the Phoenix
114,101.250416,7.5,Harry Potter and the Goblet of Fire
115,56.758411,6.2,Hancock
116,70.867401,6.9,I Am Legend
117,53.905592,6.7,Charlie and the Chocolate Factory
118,65.677399,7.5,Ratatouille
119,115.040024,7.5,Batman Begins
120,44.141021,6.2,Madagascar: Escape 2 Africa
121,81.781591,5.9,Night at the Museum: Battle of the Smithsonian
122,5.954334,6.2,X-Men Origins: Wolverine
123,73.313918,6.4,The Matrix Revolutions
124,165.125366,7.3,Frozen
125,70.78591,6.7,The Matrix Reloaded
126,99.499595,6.8,Thor: The Dark World
127,434.278564,7.2,Mad Max: Fury Road
128,67.447636,6.5,Angels & Demons
129,86.493424,6.6,Thor
130,41.845878,6.3,Bolt
131,26.710398,5.1,G-Force
132,44.927635,5.5,Wrath of the Titans
133,50.306728,5.7,Dark Shadows
134,114.522237,7.1,Mission: Impossible - Rogue Nation
135,21.214571,5.5,The Wolfman
136,29.332905,5.7,Bee Movie
137,51.247321,6.7,Kung Fu Panda 2
138,33.769336,4.7,The Last Airbender
139,63.079003,6.5,Mission: Impossible III
140,39.004588,6.4,White House Down
141,12.362599,5.5,Mars Needs Moms
142,22.550135,6.0,Flushed Away
143,48.03528,5.9,Pan
144,38.73494,6.7,Mr. Peabody & Sherman
145,66.803149,6.9,Troy
146,44.989192,6.4,Madagascar 3: Europe's Most Wanted
147,54.159392,5.8,Die Another Day
148,66.21806,5.3,Ghostbusters
149,58.485967,6.4,Armageddon
150,91.332849,6.0,Men in Black II
151,35.601665,5.5,Beowulf
152,56.747978,6.7,Kung Fu Panda 3
153,77.77477,6.8,Mission: Impossible - Ghost Protocol
154,61.788035,7.1,Rise of the Guardians
155,25.159168,5.9,Fun with Dick and Jane
156,52.341226,7.3,The Last Samurai
157,101.599427,5.6,Exodus: Gods and Kings
158,73.616808,7.4,Star Trek
159,82.502566,6.8,Spider-Man
160,100.21391,7.6,How to Train Your Dragon 2
161,56.257249,5.3,Gods of Egypt
162,17.88953,4.9,Stealth
163,64.798873,7.0,Watchmen
164,24.855701,6.3,Lethal Weapon 4
165,34.981698,5.3,Hulk
166,59.325589,5.4,G.I. Joe: Retaliation
167,21.605568,5.7,Sahara
168,26.074908,5.9,Final Fantasy: The Spirits Within
169,74.506246,6.6,Captain America: The First Avenger
170,39.604363,6.0,The World Is Not Enough
171,36.973031,6.9,Master and Commander: The Far Side of the World
172,99.687084,6.1,The Twilight Saga: Breaking Dawn - Part 2
173,17.7735,5.8,Happy Feet Two
174,62.898336,6.1,The Incredible Hulk
175,44.19092,6.0,The BFG
176,100.635882,7.3,The Revenant
177,44.765377,6.1,Turbo
178,29.91353,6.6,Rango
179,84.366984,6.5,Penguins of Madagascar
180,45.381501,7.3,The Bourne Ultimatum
181,84.689648,6.9,Kung Fu Panda
182,120.09361,7.0,Ant-Man
183,76.310119,7.4,The Hunger Games: Catching Fire
184,63.473086,6.8,Home
185,48.572726,6.2,War of the Worlds
186,38.068736,6.3,Bad Boys II
187,20.678787,6.4,Puss in Boots
188,48.829437,6.2,Salt
189,46.115758,5.6,Noah
190,89.938296,6.7,The Adventures of Tintin
191,79.679601,7.7,Harry Potter and the Prisoner of Azkaban
192,28.840997,6.3,Australia
193,42.840582,5.0,After Earth
194,26.548594,6.2,Dinosaur
195,115.597753,6.1,Night at the Museum: Secret of the Tomb
196,68.757242,6.7,Megamind
197,109.984351,7.5,Harry Potter and the Philosopher's Stone
198,39.448066,5.4,R.I.P.D.
199,271.972889,7.5,Pirates of the Caribbean: The Curse of the Black Pearl
200,206.227151,6.6,The Hunger Games: Mockingjay - Part 1
201,45.313197,6.5,The Da Vinci Code
202,42.40024,6.3,Rio 2
203,2.871739,6.8,X2
204,7.255718,7.1,Fast Five
205,81.499621,7.0,Sherlock Holmes: A Game of Shadows
206,47.686442,5.6,Clash of the Titans
207,43.129703,7.1,Total Recall
208,27.220157,6.4,The 13th Warrior
209,90.33681,6.0,The Bourne Legacy
210,50.073575,4.2,Batman & Robin
211,45.419668,6.2,How the Grinch Stole Christmas
212,41.380094,6.2,The Day After Tomorrow
213,54.931334,5.9,Mission: Impossible II
214,25.752118,6.2,The Perfect Storm
215,60.810723,5.4,Fantastic 4: Rise of the Silver Surfer
216,51.328145,7.2,Life of Pi
217,46.834704,5.2,Ghost Rider
218,62.641286,5.9,Jason Bourne
219,33.616115,5.2,Charlie's Angels: Full Throttle
220,68.889395,6.3,Prometheus
221,27.990284,5.4,Stuart Little 2
222,67.33767,6.4,Elysium
223,27.835436,6.3,The Chronicles of Riddick
224,66.757869,5.7,RoboCop
225,17.060695,5.7,Speed Racer
226,11.137655,4.9,How Do You Know
227,44.906918,5.9,Knight and Day
228,67.698004,6.4,Oblivion
229,44.108427,7.1,Star Wars: Episode III - Revenge of the Sith
230,43.987061,6.4,Star Wars: Episode II - Attack of the Clones
231,106.815545,7.5,"Monsters, Inc."
232,15.953444,6.3,The Wolverine
233,54.035265,6.3,Star Wars: Episode I - The Phantom Menace
234,64.183321,6.8,The Croods
235,20.344364,5.0,Asterix at the Olympic Games
236,18.714197,5.8,Windtalkers
237,60.467984,6.0,The Huntsman: Winter's War
238,143.350376,5.8,Teenage Mutant Ninja Turtles
239,110.153618,7.3,Gravity
240,16.90444,5.7,Dante's Peak
241,39.873791,5.8,Teenage Mutant Ninja Turtles: Out of the Shadows
242,38.126095,4.4,Fantastic Four
243,48.780039,6.3,Night at the Museum
244,100.412364,6.0,San Andreas
245,42.887121,6.0,Tomorrow Never Dies
246,23.657284,6.8,The Patriot
247,76.840712,6.4,Ocean's Twelve
248,44.635452,6.5,Mr. & Mrs. Smith
249,103.718387,6.2,Insurgent
250,45.616098,7.0,The Aviator
251,22.845143,4.9,Gulliver's Travels
252,31.703608,5.5,The Green Hornet
253,71.510596,6.1,300: Rise of an Empire
254,36.65422,5.5,The Smurfs
255,19.625972,5.7,Home on the Range
256,86.105615,5.9,Allegiant
257,37.195046,6.6,Real Steel
258,32.473628,5.5,The Smurfs 2
259,23.336875,4.1,Speed 2: Cruise Control
260,45.94834,6.6,Ender's Game
261,48.93337,6.4,Live Free or Die Hard
262,138.049577,8.0,The Lord of the Rings: The Fellowship of the Ring
263,22.643776,5.7,Around the World in 80 Days
264,18.866672,6.7,Ali
265,18.251129,4.9,The Cat in the Hat
266,95.914473,6.7,"I, Robot"
267,44.490453,6.6,Kingdom of Heaven
268,30.475297,5.8,Stuart Little
269,62.479574,6.7,The Princess and the Frog
270,167.93287,7.6,The Martian
271,37.68056,6.5,The Island
272,1.004579,3.7,Town & Country
273,52.995628,6.1,Gone in Sixty Seconds
274,95.301296,7.9,Gladiator
275,65.948959,7.1,Minority Report
276,132.397737,7.4,Harry Potter and the Chamber of Secrets
277,88.935165,7.3,Casino Royale
278,51.188633,5.6,Planet of the Apes
279,101.74155,7.7,Terminator 2: Judgment Day
280,33.691694,6.5,Public Enemies
281,42.361215,7.4,American Gangster
282,38.729418,6.8,True Lies
283,40.597856,6.2,The Taking of Pelham 1 2 3
284,32.389353,5.4,Little Fockers
285,24.399642,6.1,The Other Guys
286,24.507987,5.6,Eraser
287,82.121691,7.8,Django Unchained
288,46.727941,6.8,The Hunchback of Notre Dame
289,51.113717,7.2,The Emperor's New Groove
290,53.732892,6.1,The Expendables 2
291,58.849256,6.4,National Treasure
292,30.863434,4.9,Eragon
293,31.586215,6.4,Where the Wild Things Are
294,36.711378,6.4,Epic
295,41.426678,6.0,The Tourist
296,20.652943,5.5,End of Days
297,52.792678,7.3,Blood Diamond
298,95.007934,7.9,The Wolf of Wall Street
299,48.205606,5.2,Batman Forever
300,58.782359,6.7,Starship Troopers
301,73.872343,6.6,Cloud Atlas
302,37.321848,6.5,Legend of the Guardians: The Owls of Ga'Hoole
303,32.271938,4.2,Catwoman
304,76.842247,5.6,Hercules
305,38.924136,7.2,Treasure Planet
306,19.38841,5.3,Land of the Lost
307,61.025639,6.1,The Expendables 3
308,33.507289,5.5,Point Break
309,17.815595,3.6,Son of the Mask
310,50.767332,6.5,In the Heart of the Sea
311,12.092241,4.4,The Adventures of Pluto Nash
312,30.254021,6.4,Green Zone
313,34.308098,6.5,The Peanuts Movie
314,3.091077,7.1,The Spanish Prisoner
315,41.862983,6.0,The Mummy Returns
316,46.160048,7.1,Gangs of New York
317,12.516546,7.1,The Flowers of War
318,23.230851,5.9,Surf's Up
319,19.224754,5.4,The Stepford Wives
320,44.455166,7.2,Black Hawk Down
321,16.460356,5.6,The Campaign
322,109.528572,7.3,The Fifth Element
323,18.325897,5.4,Sex and the City 2
324,37.054554,7.0,The Road to El Dorado
325,65.229868,6.2,Ice Age: Continental Drift
326,101.187052,6.7,Cinderella
327,29.257137,6.6,The Lovely Bones
328,85.688789,7.6,Finding Nemo
329,123.630332,8.1,The Lord of the Rings: The Return of the King
330,106.914973,8.0,The Lord of the Rings: The Two Towers
331,63.628459,5.2,Seventh Son
332,41.498631,5.7,Lara Croft: Tomb Raider
333,58.991388,5.9,Transcendence
334,1.859364,5.7,Jurassic Park III
335,138.433168,7.0,Rise of the Planet of the Apes
336,21.436682,6.3,The Spiderwick Chronicles
337,65.402595,5.2,A Good Day to Die Hard
338,10.660441,5.8,The Alamo
339,77.817571,7.4,The Incredibles
340,7.029308,5.7,Cutthroat Island
341,61.121717,6.0,Percy Jackson & the Olympians: The Lightning Thief
342,104.121555,6.9,Men in Black
343,73.575118,7.3,Toy Story 2
344,37.698465,6.3,Unstoppable
345,35.814765,6.4,Rush Hour 2
346,15.835672,6.3,What Lies Beneath
347,46.781182,6.5,Cloudy with a Chance of Meatballs
348,69.457898,6.5,Ice Age: Dawn of the Dinosaurs
349,43.348022,7.0,The Secret Life of Walter Mitty
350,40.20395,5.6,Charlie's Angels
351,63.429157,7.9,The Departed
352,67.427755,7.6,Mulan
353,43.192048,6.5,Tropic Thunder
354,47.651083,7.2,The Girl with the Dragon Tattoo
355,51.881077,6.9,Die Hard: With a Vengeance
356,57.834787,7.0,Sherlock Holmes
357,29.608322,5.3,Ben-Hur
358,51.548589,6.7,Atlantis: The Lost Empire
359,27.867368,5.8,Alvin and the Chipmunks: The Road Chip
360,38.832842,6.7,Valkyrie
361,40.597344,5.5,You Don't Mess with the Zohan
362,140.849495,5.6,Pixels
363,34.035114,6.8,A.I. Artificial Intelligence
364,16.302378,5.2,The Haunted Mansion
365,55.249434,7.2,Contact
366,28.200874,5.6,Hollow Man
367,18.69984,6.2,The Interpreter
368,40.262261,5.9,Percy Jackson: Sea of Monsters
369,56.811056,5.5,Lara Croft Tomb Raider: The Cradle of Life
370,51.535701,6.7,Now You See Me 2
371,20.913852,5.9,The Saint
372,27.166757,6.8,Spy Game
373,16.058284,5.7,Mission to Mars
374,46.200042,6.5,Rio
375,24.939295,6.9,Bicentennial Man
376,19.836124,5.2,Volcano
377,15.350451,5.9,The Devil's Own
378,15.625949,6.1,K-19: The Widowmaker
379,31.802807,6.6,Conan the Barbarian
380,24.100863,7.3,Cinderella Man
381,3.593349,5.4,The Nutcracker: The Untold Story
382,14.824166,6.7,Seabiscuit
383,32.079995,6.1,Twister
384,57.739713,7.5,Cast Away
385,37.272385,5.9,Happy Feet
386,53.213931,7.2,The Bourne Supremacy
387,36.38795,6.2,Air Force One
388,60.929352,7.2,Ocean's Eleven
389,36.605246,5.6,The Three Musketeers
390,56.257411,6.8,Hotel Transylvania
391,29.21998,6.6,Enchanted
392,34.773106,6.3,Safe House
393,9.895061,5.1,102 Dalmatians
394,36.743324,5.8,Tower Heist
395,44.967453,6.7,The Holiday
396,41.207568,6.7,Enemy of the State
397,16.479851,6.2,It's Complicated
398,42.069993,6.5,Ocean's Thirteen
399,26.61951,6.1,Open Season
400,80.316463,6.9,Divergent
401,41.273567,7.2,Enemy at the Gates
402,24.107835,6.4,The Rundown
403,32.044191,6.1,Last Action Hero
404,16.595874,7.3,Memoirs of a Geisha
405,8.282876,6.1,The Fast and the Furious: Tokyo Drift
406,19.83683,6.7,Arthur Christmas
407,36.069611,6.9,Meet Joe Black
408,18.827753,5.5,Collateral Damage
409,5.159407,7.3,All That Jazz
410,48.126297,5.5,Mirror Mirror
411,38.885195,7.2,Scott Pilgrim vs. the World
412,29.211255,5.4,The Core
413,17.783361,4.7,Nutty Professor II: The Klumps
414,31.435539,5.4,Scooby-Doo
415,57.673932,6.6,Dredd
416,41.176631,6.0,Click
417,13.661289,6.7,Creepshow
418,11.77398,4.9,Cats & Dogs 2 : The Revenge of Kitty Galore
419,21.218,5.9,Jumper
420,58.57976,6.5,Hellboy II: The Golden Army
421,51.970905,7.3,Zodiac
422,18.447479,5.7,The 6th Day
423,109.684788,6.4,Bruce Almighty
424,77.580661,6.0,The Expendables
425,75.290998,6.7,Mission: Impossible
426,68.550698,6.9,The Hunger Games
427,58.040149,6.2,The Hangover Part II
428,59.113174,6.6,Batman Returns
429,36.32705,6.3,Over the Hedge
430,55.659988,7.1,Lilo & Stitch
431,14.132583,5.8,Charlotte's Web
432,34.070054,5.9,Deep Impact
433,44.34333,6.4,RED 2
434,26.065735,6.2,The Longest Yard
435,23.473004,5.4,Alvin and the Chipmunks: Chipwrecked
436,45.589568,5.8,Grown Ups 2
437,23.496054,6.0,Get Smart
438,16.939441,6.3,Something's Gotta Give
439,81.914696,7.8,Shutter Island
440,19.500893,5.3,Four Christmases
441,29.558157,6.0,Robots
442,46.075037,6.8,Face/Off
443,23.531721,5.9,Bedtime Stories
444,49.078546,7.3,Road to Perdition
445,37.02665,6.3,Just Go with It
446,45.154631,6.5,Con Air
447,46.887983,6.3,Eagle Eye
448,24.598479,6.7,Cold Mountain
449,32.363538,6.6,The Book of Eli
450,11.50396,5.3,Flubber
451,19.375768,5.2,The Haunting
452,36.125715,6.5,Space Jam
453,25.450534,5.6,The Pink Panther
454,41.890722,5.2,The Day the Earth Stood Still
455,22.179658,6.5,Conspiracy Theory
456,139.575085,7.4,Fury
457,18.264635,5.6,Six Days Seven Nights
458,11.187696,5.2,Yogi Bear
459,41.670544,7.4,Spirit: Stallion of the Cimarron
460,27.46264,5.3,Zookeeper
461,17.455024,5.0,Lost in Space
462,21.394281,6.2,The Manchurian Candidate
463,0.605645,8.0,Déjà Vu
464,61.692197,6.7,Hotel Transylvania 2
465,14.530946,7.0,Fantasia 2000
466,25.978555,5.8,The Time Machine
467,6.643778,5.9,Mighty Joe Young
468,36.788745,6.1,Swordfish
469,31.054334,5.9,The Legend of Zorro
470,21.891078,6.8,What Dreams May Come
471,18.335992,5.2,Little Nicky
472,40.138009,5.6,The Brothers Grimm
473,44.090535,6.1,Mars Attacks!
474,3.300061,6.4,Evolution
475,20.632673,6.7,The Edge
476,36.664991,5.9,Surrogates
477,18.26121,6.9,Thirteen Days
478,16.681269,5.8,Daylight
479,10.088006,5.2,Walking With Dinosaurs
480,7.89147,3.0,Battlefield Earth
481,16.715631,5.6,Looney Tunes: Back in Action
482,9.357734,5.1,Nine
483,11.22268,5.4,Timeline
484,14.564667,6.1,The Postman
485,11.356079,5.2,Babe: Pig in the City
486,52.612025,5.7,The Last Witch Hunter
487,13.800656,5.4,Red Planet
488,27.097932,6.0,Arthur and the Invisibles
489,10.706613,7.3,Oceans
490,7.342892,4.8,A Sound of Thunder
491,50.561849,5.2,Pompeii
492,0.719996,5.3,Top Cat Begins
493,59.248437,7.7,A Beautiful Mind
494,90.457886,8.0,The Lion King
495,40.723459,5.8,Journey 2: The Mysterious Island
496,41.247402,6.4,Cloudy with a Chance of Meatballs 2
497,10.083905,6.7,Red Dragon
498,16.759252,6.5,Hidalgo
499,22.132418,4.1,Jack and Jill
500,10.520961,6.2,2 Fast 2 Furious
501,35.384423,7.6,The Little Prince
502,15.673154,5.7,The Invasion
503,8.981427,3.9,The Adventures of Rocky & Bullwinkle
504,31.482872,5.9,The Secret Life of Pets
505,47.436675,5.7,The League of Extraordinary Gentlemen
506,136.886704,7.0,Despicable Me 2
507,60.442593,6.7,Independence Day
508,2.502487,6.2,The Lost World: Jurassic Park
509,48.110909,6.6,Madagascar
510,35.387874,7.4,Children of Men
511,4.66891,6.8,X-Men
512,73.82289,6.4,Wanted
513,51.469576,6.9,The Rock
514,85.115058,6.5,Ice Age: The Meltdown
515,61.437586,6.6,50 First Dates
516,31.160542,6.5,Hairspray
517,15.761384,4.7,Exorcist: The Beginning
518,17.561955,4.3,Inspector Gadget
519,71.124686,7.3,Now You See Me
520,38.864027,6.0,Grown Ups
521,57.753914,7.0,The Terminal
522,13.25753,5.7,Hotel for Dogs
523,13.318744,5.9,Vertical Limit
524,18.70031,6.5,Charlie Wilson's War
525,47.094369,5.8,Shark Tale
526,14.486311,6.6,Dreamgirls
527,18.61472,5.4,Be Cool
528,29.035222,6.9,Munich
529,27.055085,6.4,Tears of the Sun
530,23.004607,5.7,Killers
531,48.744209,7.1,The Man from U.N.C.L.E.
532,14.209329,5.8,Spanglish
533,36.368839,6.3,Monster House
534,24.353302,6.2,Bandits
535,19.143321,5.9,First Knight
536,13.327372,6.4,Anna and the King
537,37.917002,5.7,Immortals
538,23.663713,6.2,Hostage
539,14.44381,6.3,Titan A.E.
540,10.605084,5.0,Hollywood Homicide
541,11.873856,6.1,Soldier
542,12.708963,5.8,Carriers
543,8.098369,4.3,Monkeybone
544,20.374308,5.7,Flight of the Phoenix
545,42.006908,6.9,Unbreakable
546,875.581305,6.4,Minions
547,39.127082,5.9,Sucker Punch
548,20.790703,5.8,Snake Eyes
549,18.65988,5.8,Sphere
550,45.720894,5.9,The Angry Birds Movie
551,21.789615,5.4,Fool's Gold
552,20.199057,5.7,Funny People
553,26.123705,6.5,The Kingdom
554,12.599836,6.2,Talladega Nights: The Ballad of Ricky Bobby
555,13.543053,4.9,Dr. Dolittle 2
556,60.722162,7.7,Braveheart
557,32.227223,6.6,Jarhead
558,46.875375,6.9,The Simpsons Movie
559,11.215702,6.6,The Majestic
560,8.468586,4.5,Driven
561,8.884318,6.9,Two Brothers
562,27.491891,6.2,The Village
563,21.462935,5.4,Doctor Dolittle
564,28.848187,6.4,Signs
565,47.320801,6.7,Shrek 2
566,82.643036,6.6,Cars
567,20.230535,5.7,Runaway Bride
568,46.217769,5.8,xXx
569,36.952268,5.8,The SpongeBob Movie: Sponge Out of Water
570,16.411345,6.4,Ransom
571,72.595961,7.9,Inglourious Basterds
572,33.648404,6.6,Hook
573,57.69847,6.6,Die Hard 2
574,34.052253,5.8,S.W.A.T.
575,27.299301,6.5,Vanilla Sky
576,20.219385,5.3,Lady in the Water
577,42.957216,5.5,AVP: Alien vs. Predator
578,29.412262,5.4,Alvin and the Chipmunks: The Squeakquel
579,19.708731,6.7,We Were Soldiers
580,59.428223,6.2,Olympus Has Fallen
581,19.711951,6.3,Star Trek: Insurrection
582,49.199234,5.5,Battle: Los Angeles
583,46.199482,7.6,Big Fish
584,13.758526,6.0,Wolf
585,29.505574,7.0,War Horse
586,43.873266,5.8,The Monuments Men
587,24.961625,7.1,The Abyss
588,23.25645,5.8,Wall Street: Money Never Sleeps
589,64.457947,6.2,Dracula Untold
590,20.089933,6.0,The Siege
591,48.032734,7.1,Stardust
592,16.92991,7.0,Seven Years in Tibet
593,14.780634,5.2,The Dilemma
594,14.086292,5.4,Bad Company
595,29.261348,5.0,Doom
596,13.267631,5.2,I Spy
597,58.401204,6.1,Underworld: Awakening
598,23.515938,6.0,Rock of Ages
599,14.244518,5.9,Hart's War
600,29.501489,6.1,Killer Elite
601,9.306253,3.4,Rollerball
602,8.37378,4.3,Ballistic: Ecks vs. Sever
603,10.930537,5.5,Hard Rain
604,10.54544,5.9,Osmosis Jones
605,6.682006,5.9,Legends of Oz: Dorothy's Return
606,46.832372,5.1,Blackhat
607,24.664776,5.7,Sky Captain and the World of Tomorrow
608,13.483387,4.6,Basic Instinct 2
609,44.478043,6.7,Escape Plan
610,25.020428,4.4,The Legend of Hercules
611,22.392544,5.9,The Sum of All Fears
612,107.069763,5.8,The Twilight Saga: Eclipse
613,22.572323,6.7,The Score
614,113.858273,7.1,Despicable Me
615,10.004564,5.4,Money Train
616,68.734513,6.2,Ted 2
617,18.888806,6.9,Agora
618,12.948627,5.7,Mystery Men
619,27.11589,5.4,Hall Pass
620,26.153669,7.3,The Insider
621,28.223664,6.3,The Finest Hours
622,37.507136,6.5,Body of Lies
623,11.023691,5.5,Dinner for Schmucks
624,38.634767,5.5,Abraham Lincoln: Vampire Hunter
625,25.877794,6.0,Entrapment
626,18.59991,6.6,The X Files
627,12.282911,5.0,The Last Legion
628,76.041867,7.9,Saving Private Ryan
629,54.81489,6.1,Need for Speed
630,31.39165,6.1,What Women Want
631,99.561972,7.1,Ice Age
632,26.792794,5.3,Dreamcatcher
633,36.307296,6.7,Lincoln
634,104.309993,7.9,The Matrix
635,68.140214,7.3,Apollo 13
636,14.646884,5.5,The Santa Clause 2
637,48.356214,7.1,Les Misérables
638,28.540267,6.3,You've Got Mail
639,22.977983,6.5,Step Brothers
640,31.086791,6.3,The Mask of Zorro
641,43.865294,6.2,Due Date
642,43.055253,7.3,Unbroken
643,15.772081,6.3,Space Cowboys
644,26.19909,6.1,Cliffhanger
645,22.769108,5.7,Broken Arrow
646,18.281798,6.0,The Kid
647,24.697533,5.9,World Trade Center
648,19.718544,6.5,Mona Lisa Smile
649,31.349143,5.9,The Dictator
650,27.870312,7.1,Eyes Wide Shut
651,33.439187,6.0,Annie
652,59.634029,6.7,Focus
653,38.994297,5.9,This Means War
654,49.660055,5.7,Blade: Trinity
655,11.743085,6.4,Red Dawn
656,9.110247,6.1,Primary Colors
657,6.227675,5.6,Resident Evil: Retribution
658,42.57877,6.0,Death Race
659,15.858629,6.5,The Long Kiss Goodnight
660,14.866901,6.0,Proof of Life
661,15.194239,6.1,Zathura: A Space Adventure
662,146.757391,8.3,Fight Club
663,8.629665,6.7,We Are Marshall
664,16.803457,5.4,Hudson Hawk
665,2.952595,4.9,Lucky Numbers
666,31.324734,5.0,"I, Frankenstein"
667,20.415572,6.7,Oliver Twist
668,28.613892,4.8,Elektra
669,85.428395,6.3,Sin City: A Dame to Kill For
670,4.137237,5.3,Random Hearts
671,60.246978,6.7,Everest
672,42.551902,7.1,Perfume: The Story of a Murderer
673,40.137264,5.9,Austin Powers in Goldmember
674,24.857079,6.1,Astro Boy
675,40.413191,7.6,Jurassic Park
676,13.859307,6.5,Wyatt Earp
677,18.832471,6.4,Clear and Present Danger
678,9.568884,5.9,Dragon Blade
679,12.421504,5.3,Little Man
680,18.096884,6.1,U-571
681,11.056763,6.5,The American President
682,13.218008,4.3,The Love Guru
683,11.262655,5.8,3000 Miles to Graceland
684,68.717016,7.6,The Hateful Eight
685,19.412028,5.9,Blades of Glory
686,16.791058,5.5,Hop
687,65.197968,7.0,300
688,32.829538,6.1,Meet the Fockers
689,30.951203,6.9,Marley & Me
690,103.698022,8.2,The Green Mile
691,31.719463,5.6,Wild Hogs
