,title,metadonnees,popularity
19,The Hobbit: The Battle of the Five Armies,corruption elves dwarves martinfreeman ianmckellen richardarmitage peterjackson action adventure fantasy,120.965743
20,The Amazing Spider-Man,lossoffather vigilante serum andrewgarfield emmastone rhysifans marcwebb action adventure fantasy,89.866276
21,Robin Hood,robinhood archer knight russellcrowe cateblanchett maxvonsydow ridleyscott action adventure,37.668301
22,The Hobbit: The Desolation of Smaug,elves dwarves orcs martinfreeman ianmckellen richardarmitage peterjackson adventure fantasy,94.370564
23,The Golden Compass,england compass experiment dakotabluerichards nicolekidman danielcraig chrisweitz adventure fantasy,42.990906
24,King Kong,filmbusiness screenplay showbusiness naomiwatts jackblack adrienbrody peterjackson adventure drama action,61.22601
25,Titanic,shipwreck iceberg ship katewinslet leonardodicaprio francesfisher jamescameron drama romance thriller,100.025899
26,Captain America: Civil War,civilwar war marvelcomic chrisevans robertdowneyjr. scarlettjohansson anthonyrusso adventure action sciencefiction,198.372395
27,Battleship,fight u.s.navy mindreading taylorkitsch alexanderskarsgård rihanna peterberg thriller action adventure,64.928382
28,Jurassic World,monster dna tyrannosaurusrex chrispratt brycedallashoward irrfankhan colintrevorrow action adventure sciencefiction,418.708552
29,Skyfall,spy secretagent sociopath danielcraig judidench javierbardem sammendes action adventure thriller,93.004993
30,Spider-Man 2,dualidentity loveofone'slife pizzaboy tobeymaguire kirstendunst jamesfranco samraimi action adventure fantasy,35.149586
31,Iron Man 3,terrorist waronterror tennessee robertdowneyjr. gwynethpaltrow doncheadle shaneblack action adventure sciencefiction,77.68208
32,Alice in Wonderland,basedonnovel fictionalplace queen miawasikowska johnnydepp annehathaway timburton family fantasy adventure,78.530105
33,X-Men: The Last Stand,mutant marvelcomic basedoncomicbook hughjackman halleberry ianmckellen brettratner adventure action sciencefiction,3.857526
34,Monsters University,monster dormitory games billycrystal johngoodman stevebuscemi danscanlon animation family,89.186492
35,Transformers: Revenge of the Fallen,egypt sun chaos shialabeouf meganfox joshduhamel michaelbay sciencefiction action adventure,21.939663
36,Transformers: Age of Extinction,sequel alien transformers markwahlberg stanleytucci kelseygrammer michaelbay sciencefiction action adventure,116.840296
37,Oz: The Great and Powerful,circus witch magic jamesfranco milakunis rachelweisz samraimi fantasy adventure family,46.985445
38,The Amazing Spider-Man 2,obsession marvelcomic sequel andrewgarfield emmastone jamiefoxx marcwebb action adventure fantasy,89.270217
39,TRON: Legacy,artificialintelligence secretidentity computerprogram garretthedlund jeffbridges oliviawilde josephkosinski adventure action sciencefiction,73.79505
40,Cars 2,carrace sequel comedy owenwilson larrythecableguy michaelcaine johnlasseter animation family adventure,49.98659
41,Green Lantern,dccomics transformation superhero ryanreynolds blakelively petersarsgaard martincampbell adventure action thriller,51.872839
42,Toy Story 3,hostage college toy tomhanks timallen nedbeatty leeunkrich animation family comedy,59.995418
43,Terminator Salvation,savingtheworld artificialintelligence prophecy christianbale samworthington antonyelchin mcg action sciencefiction thriller,71.862892
44,Furious 7,carrace speed revenge vindiesel paulwalker dwaynejohnson jameswan action,102.322217
45,World War Z,dystopia apocalypse zombie bradpitt mireilleenos abigailhargrove marcforster action drama horror,81.834855
46,X-Men: Days of Future Past,1970s mutant timetravel hughjackman jamesmcavoy michaelfassbender bryansinger action adventure fantasy,118.078691
47,Star Trek Into Darkness,spacecraft friendship sequel chrispine zacharyquinto zoesaldana j.j.abrams action adventure sciencefiction,78.291018
48,Jack the Giant Slayer,basedonfairytale giant nicholashoult eleanortomlinson ewanmcgregor bryansinger action family fantasy,43.349855
49,The Great Gatsby,basedonnovel infidelity obsession leonardodicaprio tobeymaguire careymulligan bazluhrmann drama romance,61.196071
50,Prince of Persia: The Sands of Time,persia sandstorm brotheragainstbrother jakegyllenhaal gemmaarterton benkingsley mikenewell adventure fantasy action,62.169881
51,Pacific Rim,dystopia giantrobot giantmonster idriselba charliehunnam charlieday guillermodeltoro action sciencefiction adventure,56.523205
52,Transformers: Dark of the Moon,moon spacecraft traitor shialabeouf johnmalkovich kenjeong michaelbay action sciencefiction adventure,28.529607
53,Indiana Jones and the Kingdom of the Crystal Skull,savingtheworld riddle whip harrisonford cateblanchett shialabeouf stevenspielberg adventure action,75.674458
54,The Good Dinosaur,tyrannosaurusrex friends alternatehistory raymondochoa jackbright jeffreywright petersohn adventure animation family,51.692953
55,Brave,scotland rebel bravery kellymacdonald juliewalters billyconnolly brendachapman animation adventure comedy,125.114374
56,Star Trek Beyond,sequel stranded hatred chrispine zacharyquinto karlurban justinlin action adventure sciencefiction,65.352913
57,WALL·E,romanticcomedy benburtt elissaknight jeffgarlin andrewstanton animation family,66.390712
58,Rush Hour 3,ambassador christucker jackiechan hiroyukisanada brettratner action comedy crime,22.57178
59,2012,civilization naturaldisaster endoftheworld johncusack amandapeet chiwetelejiofor rolandemmerich action adventure sciencefiction,45.274225
60,A Christmas Carol,holiday basedonnovel victorianengland garyoldman jimcarrey stevevalentine robertzemeckis animation drama,39.744242
61,Jupiter Ascending,jupiter space womandirector milakunis channingtatum seanbean lillywachowski sciencefiction fantasy action,85.36908
62,The Legend of Tarzan,africa feralchild tarzan alexanderskarsgård margotrobbie christophwaltz davidyates action adventure,42.741719
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",savingtheworld witch basedonnovel williammoseley annapopplewell skandarkeynes andrewadamson adventure family fantasy,67.391328
64,X-Men: Apocalypse,mutant supernaturalpowers marvelcomic jamesmcavoy michaelfassbender jenniferlawrence bryansinger sciencefiction,139.272042
65,The Dark Knight,dccomics crimefighter secretidentity christianbale heathledger aaroneckhart christophernolan drama action crime,187.322927
66,Up,agedifference centralandsouthamerica balloon edasner christopherplummer jordannagai petedocter animation comedy family,92.201962
67,Monsters vs Aliens,alien giantrobot duringcreditsstinger sethrogen reesewitherspoon hughlaurie conradvernon animation family adventure,36.167578
68,Iron Man,middleeast armsdealer malibu robertdowneyjr. terrencehoward jeffbridges jonfavreau action sciencefiction adventure,120.725053
69,Hugo,library clock filmdirector benkingsley sachabaroncohen asabutterfield martinscorsese adventure drama family,32.319043
70,Wild Wild West,steampunk basedontvseries steamlocomotive willsmith kevinkline kennethbranagh barrysonnenfeld action adventure comedy,40.748915
71,The Mummy: Tomb of the Dragon Emperor, brendanfraser jetli johnhannah robcohen adventure action fantasy,60.034162
72,Suicide Squad,dccomics shareduniverse antihero willsmith margotrobbie joelkinnaman davidayer action adventure crime,90.23792
73,Evan Almighty,fathersonrelationship dailylife marriedcouple stevecarell laurengraham johngoodman tomshadyac fantasy comedy family,27.082182
74,Edge of Tomorrow,dejavu timewarp restart tomcruise emilyblunt brendangleeson dougliman action sciencefiction,79.456485
75,Waterworld,ocean tattoo mutant kevincostner chaimgirafi rickaviles kevinreynolds adventure action,44.640292
76,G.I. Joe: The Rise of Cobra,terrorist secret hostage dennisquaid channingtatum marlonwayans stephensommers adventure action thriller,32.852443
77,Inside Out,dream cartoon imaginaryfriend amypoehler phyllissmith richardkind petedocter drama comedy animation,128.655964
78,The Jungle Book,basedonnovel snake wolf neelsethi billmurray benkingsley jonfavreau family adventure drama,94.199316
79,Iron Man 2,malibu marvelcomic superhero robertdowneyjr. gwynethpaltrow doncheadle jonfavreau adventure action sciencefiction,77.300194
80,Snow White and the Huntsman,queen magic fairytale kristenstewart charlizetheron chrishemsworth rupertsanders adventure fantasy drama,77.178973
81,Maleficent,fairytale villain sleepingbeauty angelinajolie ellefanning sharltocopley robertstromberg fantasy adventure action,110.620647
82,Dawn of the Planet of the Apes,leader colony post-apocalyptic andyserkis jasonclarke garyoldman mattreeves sciencefiction action drama,243.791743
83,The Lovers, joshhartnett simonekessell tamsinegerton rolandjoffé action adventure sciencefiction,2.418535
84,47 Ronin,japan suicide samurai keanureeves hiroyukisanada koushibasaki carlrinsch drama action adventure,41.796339
85,Captain America: The Winter Soldier,washingtond.c. future shield chrisevans samuell.jackson scarlettjohansson anthonyrusso action adventure sciencefiction,72.225265
86,Shrek Forever After,ogre 3d mikemyers eddiemurphy camerondiaz mikemitchell comedy adventure fantasy,44.041186
87,Tomorrowland,inventor apocalypse destiny brittrobertson georgeclooney raffeycassidy bradbird adventure family mystery,130.311355
88,Big Hero 6,brotherbrotherrelationship hero talent scottadsit ryanpotter danielhenney chriswilliams adventure family animation,203.73459
89,Wreck-It Ralph,supportgroup productplacement bullying johnc.reilly sarahsilverman jackmcbrayer richmoore family animation comedy,62.341073
90,The Polar Express,santaclaus nerd faith tomhanks michaeljeter nonagaye robertzemeckis adventure animation family,47.323228
91,Independence Day: Resurgence,alternatehistory alieninvasion liamhemsworth jeffgoldblum billpullman rolandemmerich action adventure sciencefiction,48.775723
92,How to Train Your Dragon,flying blacksmith arena jaybaruchel gerardbutler craigferguson chrissanders fantasy adventure animation,67.263269
93,Terminator 3: Rise of the Machines,savingtheworld artificialintelligence manvsmachine arnoldschwarzenegger nickstahl clairedanes jonathanmostow action thriller sciencefiction,69.405188
94,Guardians of the Galaxy,marvelcomic spaceship space chrispratt zoesaldana davebautista jamesgunn action sciencefiction adventure,481.098624
95,Interstellar,savingtheworld artificialintelligence fathersonrelationship matthewmcconaughey jessicachastain annehathaway christophernolan adventure drama sciencefiction,724.247784
96,Inception,lossoflover dream kidnapping leonardodicaprio josephgordon-levitt ellenpage christophernolan action thriller sciencefiction,167.58371
97,Shin Godzilla,monster godzilla giantmonster hirokihasegawa yutakatakenouchi satomiishihara hideakianno action adventure drama,9.476999
98,The Hobbit: An Unexpected Journey,riddle elves dwarves ianmckellen martinfreeman richardarmitage peterjackson adventure fantasy action,108.849621
99,The Fast and the Furious,streetgang carrace undercover paulwalker vindiesel michellerodriguez robcohen action crime thriller,6.909942
100,The Curious Case of Benjamin Button,diary navy funeral cateblanchett bradpitt tildaswinton davidfincher fantasy drama thriller,60.269279
101,X-Men: First Class,cia mutant mine jamesmcavoy michaelfassbender jenniferlawrence matthewvaughn action sciencefiction adventure,3.195174
102,The Hunger Games: Mockingjay - Part 2,revolution strongwoman dystopia jenniferlawrence joshhutcherson liamhemsworth francislawrence action adventure sciencefiction,127.284427
103,The Sorcerer's Apprentice,witch fire wolf nicolascage jaybaruchel monicabellucci jonturteltaub fantasy adventure action,35.580815
104,Poseidon,newyear'seve fire drowning kurtrussell richarddreyfuss joshlucas wolfgangpetersen adventure action drama,21.133748
105,Alice Through the Looking Glass,basedonnovel clock queen johnnydepp miawasikowska annehathaway jamesbobin fantasy,56.268916
106,Shrek the Third,ambush sadness stage mikemyers eddiemurphy camerondiaz chrismiller fantasy adventure animation,42.986467
107,Warcraft,videogame elves orcs paulapatton travisfimmel benfoster duncanjones action adventure fantasy,63.148529
108,Terminator Genisys,savingtheworld artificialintelligence cyborg arnoldschwarzenegger jasonclarke emiliaclarke alantaylor sciencefiction action thriller,202.042635
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,basedonnovel magic goodvsevil skandarkeynes georgiehenley simonpegg michaelapted adventure family fantasy,49.661984
110,Pearl Harbor,nurse patriotism hawaii benaffleck joshhartnett katebeckinsale michaelbay history romance war,34.20669
111,Transformers,destroy transformation alien shialabeouf joshduhamel meganfox michaelbay adventure sciencefiction action,25.468493
112,Alexander,aristotle egypt greece colinfarrell angelinajolie valkilmer oliverstone war history action,39.019229
113,Harry Potter and the Order of the Phoenix,prophecy witch lossoflover danielradcliffe rupertgrint emmawatson davidyates adventure fantasy family,78.144395
114,Harry Potter and the Goblet of Fire,magic dyinganddeath broom danielradcliffe rupertgrint emmawatson mikenewell adventure fantasy family,101.250416
115,Hancock,flying alcohol loveofone'slife willsmith charlizetheron jasonbateman peterberg fantasy action,56.758411
116,I Am Legend,savingtheworld lostcivilisation post-apocalyptic willsmith alicebraga charlietahan francislawrence drama horror action,70.867401
117,Charlie and the Chocolate Factory,londonengland fathersonrelationship chocolate johnnydepp freddiehighmore davidkelly timburton adventure comedy family,53.905592
118,Ratatouille,paris brotherbrotherrelationship expensiverestaurant pattonoswalt ianholm louromano janpinkava animation comedy family,65.677399
119,Batman Begins,himalaya martialarts dccomics christianbale michaelcaine liamneeson christophernolan action crime drama,115.040024
120,Madagascar: Escape 2 Africa,africa jealousy dance benstiller jadapinkettsmith davidschwimmer ericdarnell family animation,44.141021
121,Night at the Museum: Battle of the Smithsonian,museum theodoreroosevelt duringcreditsstinger benstiller amyadams owenwilson shawnlevy adventure fantasy action,81.781591
122,X-Men Origins: Wolverine,corruption mutant boxer hughjackman lievschreiber dannyhuston gavinhood adventure action thriller,5.954334
123,The Matrix Revolutions,savingtheworld artificialintelligence manvsmachine keanureeves laurencefishburne carrie-annemoss lillywachowski adventure action thriller,73.313918
124,Frozen,queen musical princess kristenbell idinamenzel jonathangroff chrisbuck animation adventure family,165.125366
125,The Matrix Reloaded,savingtheworld artificialintelligence manvsmachine keanureeves carrie-annemoss laurencefishburne lillywachowski adventure action thriller,70.78591
126,Thor: The Dark World,marvelcomic superhero basedoncomicbook chrishemsworth natalieportman tomhiddleston alantaylor action adventure fantasy,99.499595
127,Mad Max: Fury Road,future chase post-apocalyptic tomhardy charlizetheron nicholashoult georgemiller action adventure sciencefiction,434.278564
128,Angels & Demons,rome vatican basedonnovel tomhanks ewanmcgregor ayeletzurer ronhoward thriller mystery,67.447636
129,Thor,newmexico banishment shield chrishemsworth natalieportman tomhiddleston kennethbranagh adventure fantasy action,86.493424
130,Bolt,hamster kidsandfamily animal johntravolta mileycyrus susieessman chriswilliams animation family adventure,41.845878
131,G-Force,dyr duringcreditsstinger samrockwell penélopecruz tracymorgan hoytyeatman fantasy action adventure,26.710398
132,Wrath of the Titans,underworld hades mythology samworthington liamneeson ralphfiennes jonathanliebesman adventure,44.927635
133,Dark Shadows,witch imprisonment vampire johnnydepp michellepfeiffer helenabonhamcarter timburton comedy fantasy,50.306728
134,Mission: Impossible - Rogue Nation,londonengland spy austria tomcruise rebeccaferguson simonpegg christophermcquarrie action adventure thriller,114.522237
135,The Wolfman,fathersonrelationship victorianengland remake beniciodeltoro anthonyhopkins emilyblunt joejohnston drama horror thriller,21.214571
136,Bee Movie,factoryworker tennis flower jerryseinfeld renéezellweger jimcummings stevehickner family animation adventure,29.332905
137,Kung Fu Panda 2,martialarts hope fleet jackblack angelinajolie dustinhoffman jenniferyuhnelson animation family,51.247321
138,The Last Airbender,fire ice warship noahringer nicolapeltz jacksonrathbone m.nightshyamalan action adventure family,33.769336
139,Mission: Impossible III,berlin cia vatican tomcruise philipseymourhoffman vingrhames j.j.abrams adventure action thriller,63.079003
140,White House Down,usapresident conspiracy secretservice channingtatum jamiefoxx joeyking rolandemmerich action drama thriller,39.004588
141,Mars Needs Moms,boy alien rescue sethgreen joancusack danfogler simonwells adventure animation family,12.362599
142,Flushed Away,londonengland underworld return hughjackman katewinslet ianmckellen davidbowers adventure animation comedy,22.550135
143,Pan,flying magic fairytale levimiller garretthedlund hughjackman joewright adventure family fantasy,48.03528
144,Mr. Peabody & Sherman,fathersonrelationship egypt intelligence tyburrell maxcharles arielwinter robminkoff animation adventure family,38.73494
145,Troy,brotherbrotherrelationship adultery mythology bradpitt orlandobloom ericbana wolfgangpetersen adventure drama war,66.803149
146,Madagascar 3: Europe's Most Wanted,madagascar 3d benstiller sachabaroncohen davidschwimmer conradvernon animation family,44.989192
147,Die Another Day,laser britishsecretservice secretserviceagent piercebrosnan halleberry rosamundpike leetamahori adventure action thriller,54.159392
148,Ghostbusters,femalefriendship ghosthunting reboot melissamccarthy kristenwiig katemckinnon paulfeig action fantasy comedy,66.21806
149,Armageddon,savingtheworld paris moon brucewillis billybobthornton benaffleck michaelbay action thriller sciencefiction,58.485967
150,Men in Black II,savingtheworld secretidentity sunglasses tommyleejones willsmith riptorn barrysonnenfeld action adventure comedy,91.332849
151,Beowulf,denmark nordicmythology lie raywinstone angelinajolie anthonyhopkins robertzemeckis adventure action animation,35.601665
152,Kung Fu Panda 3,china martialarts kungfu jackblack bryancranston dustinhoffman jenniferyuhnelson action adventure animation,56.747978
153,Mission: Impossible - Ghost Protocol,fight sequel mission tomcruise jeremyrenner simonpegg bradbird action thriller adventure,77.77477
154,Rise of the Guardians,dream santaclaus nightmare chrispine alecbaldwin judelaw peterramsey fantasy animation family,61.788035
155,Fun with Dick and Jane,basedonnovel desperation robber jimcarrey téaleoni alecbaldwin deanparisot comedy,25.159168
156,The Last Samurai,japan warcrimes senseofguilt tomcruise kenwatanabe williamatherton edwardzwick drama action war,52.341226
157,Exodus: Gods and Kings,moses bible ancientegypt christianbale joeledgerton johnturturro ridleyscott adventure drama action,101.599427
158,Star Trek,spacecraft teleportation spacemission chrispine zacharyquinto leonardnimoy j.j.abrams sciencefiction action adventure,73.616808
159,Spider-Man,lossoflover spider thanksgiving tobeymaguire willemdafoe kirstendunst samraimi fantasy action,82.502566
160,How to Train Your Dragon 2,fathersonrelationship wifehusbandrelationship sacrifice jaybaruchel gerardbutler kristenwiig deandeblois fantasy action adventure,100.21391
161,Gods of Egypt,egypt underworld fight brentonthwaites nikolajcoster-waldau gerardbutler alexproyas fantasy,56.257249
162,Stealth,artificialintelligence u.s.navy aftercreditsstinger joshlucas jessicabiel jamiefoxx robcohen action,17.88953
163,Watchmen,dccomics secretidentity massmurder malinåkerman billycrudup carlagugino zacksnyder action mystery sciencefiction,64.798873
164,Lethal Weapon 4,lapd houseonfire revolver melgibson dannyglover joepesci richarddonner action adventure comedy,24.855701
165,Hulk,california sanfrancisco monster ericbana jenniferconnelly samelliott anglee drama action sciencefiction,34.981698
166,G.I. Joe: Retaliation,terror assassin secret dwaynejohnson d.j.cotrona adriannepalicki jonm.chu adventure action sciencefiction,59.325589
167,Sahara,tyrant ironcladship matthewmcconaughey penélopecruz stevezahn breckeisner action adventure comedy,21.605568
168,Final Fantasy: The Spirits Within,battleassignment dystopia alien donaldsutherland ming-nawen alecbaldwin hironobusakaguchi adventure action animation,26.074908
169,Captain America: The First Avenger,newyork usa worldwarii chrisevans hugoweaving tommyleejones joejohnston action adventure sciencefiction,74.506246
170,The World Is Not Enough,british mission oil piercebrosnan sophiemarceau robertcarlyle michaelapted adventure action thriller,39.604363
171,Master and Commander: The Far Side of the World,naturalist frigate selfsurgery russellcrowe paulbettany jamesd'arcy peterweir adventure,36.973031
172,The Twilight Saga: Breaking Dawn - Part 2,vampire romance villainess kristenstewart robertpattinson taylorlautner billcondon adventure fantasy drama,99.687084
173,Happy Feet Two,penguin musical aftercreditsstinger elijahwood robinwilliams pink georgemiller animation comedy family,17.7735
174,The Incredible Hulk,newyork riodejaneiro marvelcomic edwardnorton livtyler timroth louisleterrier sciencefiction action adventure,62.898336
175,The BFG,londonengland england basedonnovel rubybarnhill markrylance rebeccahall stevenspielberg adventure family fantasy,44.19092
176,The Revenant,fathersonrelationship rape basedonnovel leonardodicaprio tomhardy willpoulter alejandrogonzáleziñárritu western drama adventure,100.635882
177,Turbo,underdog carrace dream ryanreynolds paulgiamatti michaelpeña davidsoren animation family,44.765377
178,Rango,sheriff nevada pet johnnydepp islafisher nedbeatty goreverbinski animation comedy family,29.91353
179,Penguins of Madagascar,penguin madagascar 3d tommcgrath chrismiller christopherknights ericdarnell family animation adventure,84.366984
180,The Bourne Ultimatum,paris corruption madrid mattdamon juliastiles davidstrathairn paulgreengrass action drama mystery,45.381501
181,Kung Fu Panda,china martialarts kungfu jackblack dustinhoffman angelinajolie markosborne adventure animation family,84.689648
182,Ant-Man,marvelcomic superhero basedoncomicbook paulrudd michaeldouglas evangelinelilly peytonreed sciencefiction action adventure,120.09361
183,The Hunger Games: Catching Fire,competition basedonnovel mentor jenniferlawrence joshhutcherson liamhemsworth francislawrence adventure action sciencefiction,76.310119
184,Home,friendship spaceship space jimparsons rihanna stevemartin timjohnson fantasy comedy animation,63.473086
185,War of the Worlds,posttraumaticstressdisorder newjersey airplane tomcruise dakotafanning mirandaotto stevenspielberg adventure thriller sciencefiction,48.572726
186,Bad Boys II,miami kukluxklan cuba martinlawrence willsmith jordimollà michaelbay adventure action comedy,38.068736
187,Puss in Boots,adventure fairy-talefigure antoniobanderas salmahayek zachgalifianakis chrismiller action adventure animation,20.678787
188,Salt,assassination spy cia angelinajolie lievschreiber chiwetelejiofor phillipnoyce action mystery thriller,48.829437
189,Noah,bible god noah russellcrowe jenniferconnelly emmawatson darrenaronofsky drama adventure,46.115758
190,The Adventures of Tintin,riddle captain treasure jamiebell andyserkis danielcraig stevenspielberg adventure animation mystery,89.938296
191,Harry Potter and the Prisoner of Azkaban,flying traitor magic danielradcliffe rupertgrint emmawatson alfonsocuarón adventure fantasy family,79.679601
192,Australia,missionary worldwarii ranch nicolekidman hughjackman essiedavis bazluhrmann drama,28.840997
193,After Earth,dystopia jadensmith willsmith sophieokonedo m.nightshyamalan sciencefiction action adventure,42.840582
194,Dinosaur,cataclysm asteroid leader d.b.sweeney alfrewoodard ossiedavis ralphzondag animation family,26.548594
195,Night at the Museum: Secret of the Tomb,nightwatchman museum naturalhistory benstiller ramimalek rebelwilson shawnlevy adventure comedy fantasy,115.597753
196,Megamind,savingtheworld date prison willferrell bradpitt tinafey tommcgrath animation action comedy,68.757242
197,Harry Potter and the Philosopher's Stone,witch christmasparty magic danielradcliffe rupertgrint emmawatson chriscolumbus adventure fantasy family,109.984351
198,R.I.P.D.,gold policeoperation partner jeffbridges ryanreynolds kevinbacon robertschwentke fantasy action comedy,39.448066
199,Pirates of the Caribbean: The Curse of the Black Pearl,exoticisland blacksmith eastindiatradingcompany johnnydepp geoffreyrush orlandobloom goreverbinski adventure fantasy action,271.972889
200,The Hunger Games: Mockingjay - Part 1,resistance post-apocalyptic dystopia jenniferlawrence joshhutcherson liamhemsworth francislawrence sciencefiction adventure thriller,206.227151
201,The Da Vinci Code,paris holygrail christianity tomhanks audreytautou ianmckellen ronhoward thriller mystery,45.313197
202,Rio 2,bird sequel jungle jesseeisenberg annehathaway lesliemann carlossaldanha animation adventure comedy,42.40024
203,X2,mutant marvelcomic superhero patrickstewart hughjackman ianmckellen bryansinger adventure action sciencefiction,2.871739
204,Fast Five,brazil fbi freedom vindiesel paulwalker jordanabrewster justinlin action thriller crime,7.255718
205,Sherlock Holmes: A Game of Shadows,detectiveinspector steampunk criminalmastermind robertdowneyjr. judelaw jaredharris guyritchie adventure action crime,81.499621
206,Clash of the Titans,hades mythology greekmythology samworthington liamneeson ralphfiennes louisleterrier adventure fantasy action,47.686442
207,Total Recall,oxygen falselyaccused resistance arnoldschwarzenegger sharonstone rachelticotin paulverhoeven action adventure sciencefiction,43.129703
208,The 13th Warrior,witch cave arabian antoniobanderas vladimirkulich dennisstorhøi johnmctiernan adventure fantasy action,27.220157
209,The Bourne Legacy,assassin wolf maryland jeremyrenner rachelweisz edwardnorton tonygilroy action thriller,90.33681
210,Batman & Robin,doublelife dccomics dualidentity georgeclooney chriso'donnell arnoldschwarzenegger joelschumacher action crime fantasy,50.073575
211,How the Grinch Stole Christmas,holiday christmasparty newlove jimcarrey taylormomsen jeffreytambor ronhoward family comedy fantasy,45.419668
212,The Day After Tomorrow,savingtheworld library cataclysm dennisquaid jakegyllenhaal emmyrossum rolandemmerich action adventure sciencefiction,41.380094
213,Mission: Impossible II,terror spain cia tomcruise dougrayscott thandienewton johnwoo adventure action thriller,54.931334
214,The Perfect Storm,u.s.airforce grocery jamaican georgeclooney markwahlberg dianelane wolfgangpetersen drama,25.752118
215,Fantastic 4: Rise of the Silver Surfer,fire helicopter surfboard ioangruffudd jessicaalba chrisevans timstory adventure fantasy action,60.810723
216,Life of Pi,ocean shipwreck hindu surajsharma irrfankhan ayushtandon anglee adventure drama action,51.328145
217,Ghost Rider,mephisto religionandsupernatural dyinganddeath nicolascage evamendes wesbentley markstevenjohnson thriller action fantasy,46.834704
218,Jason Bourne,assassin amnesia flashback mattdamon aliciavikander tommyleejones paulgreengrass action thriller,62.641286
219,Charlie's Angels: Full Throttle,robbery secretidentity secretagent camerondiaz drewbarrymore lucyliu mcg action adventure comedy,33.616115
220,Prometheus,android dystopia alien noomirapace michaelfassbender guypearce ridleyscott sciencefiction adventure mystery,68.889395
221,Stuart Little 2,mouse falcon bird michaelj.fox geenadavis hughlaurie robminkoff family adventure animation,27.990284
222,Elysium,dystopia spacestation classconflict mattdamon jodiefoster sharltocopley neillblomkamp sciencefiction action drama,67.33767
223,The Chronicles of Riddick,prison dystopia matteroflifeanddeath vindiesel thandienewton karlurban davidtwohy action sciencefiction,27.835436
224,RoboCop,cyborg future dystopia joelkinnaman garyoldman michaelkeaton josépadilha action sciencefiction,66.757869
225,Speed Racer,carrace lossofbrother chimp emilehirsch christinaricci matthewfox lillywachowski action family sciencefiction,17.060695
226,How Do You Know,lovetriangle baseball athlete reesewitherspoon paulrudd owenwilson jamesl.brooks comedy drama romance,11.137655
227,Knight and Day,spy airport gasstation tomcruise camerondiaz petersarsgaard jamesmangold action comedy,44.906918
228,Oblivion,spacecraft dystopia space tomcruise morganfreeman olgakurylenko josephkosinski action sciencefiction adventure,67.698004
229,Star Wars: Episode III - Revenge of the Sith,showdown deathstar vision ewanmcgregor natalieportman haydenchristensen georgelucas sciencefiction adventure action,44.108427
230,Star Wars: Episode II - Attack of the Clones,senate investigation army ewanmcgregor natalieportman haydenchristensen georgelucas adventure action sciencefiction,43.987061
231,"Monsters, Inc.",monster infant energysupply johngoodman billycrystal marygibbs petedocter animation comedy family,106.815545
232,The Wolverine,japan samurai mutant hughjackman hiroyukisanada famkejanssen jamesmangold action sciencefiction adventure,15.953444
